ID,code,description
89518f07-4fde-4f48-aeca-5b57e3972cac,EN,English
8466b841-6605-4bdc-a8f5-51b887932d91,TE,Telugu
93225d14-4d22-4c61-bb28-bd07251931e3,HI,Hindi
51d71ec1-db01-4e9d-b6ae-a6c7a30cf39d,TA,Tamil
e2ae3558-e36d-42d8-9b7e-2c03ad2998b0,KA,Kannada
